CRq	LRq	Erq	ALT	NRQ	ATC	Prod
31.73333333	13.66666667	8.94	0.99	15	0.914067	9.2
31.72	14.6	11.956	1.31	25	1.6335396	16.3
29.35	13.95	12.315	1.17	20	1.176021	13.4
27.42857143	13.85714286	10.65714286	0.62	7	0.3738042	4
27.11111111	11.16666667	7.533333333	0.88	18	0.7660422	6.5
32	14.04166667	10.93333333	1.16	24	1.534302	16.6
33.94444444	19.44444444	22.33333333	1.45	18	1.6823268	24.2
29.875	15.375	18.975	1.1	16	1.0392228	11.1
32.44444444	15.03703704	9.392592593	1.49	27	1.8408852	20.8
30.19047619	15.19047619	9.666666667	1.33	21	1.3435884	12.1
32.36666667	14.23333333	9.613333333	1.28	30	1.9697832	19.2
32.24	15.36	10.448	1.48	25	1.7244612	15.1
29.91666667	14.08333333	11.6625	1.42	24	1.419264	13
30.8	14.8	5.055	1.23	20	1.267497	7.2
26.375	11.5	9.0875	1.12	16	0.6845454	5.3
29.52	14.56	13.172	1.25	25	1.5352722	13.9
30.75	16.3125	17.56875	1.32	16	1.1155914	17.7
29.27272727	14.45454545	6.931818182	1.51	22	1.3186404	11.3
29.125	13.83333333	8.6875	1.27	24	1.369368	12.7
27.22727273	13.59090909	9.75	1.32	22	1.1548152	11.8
26.66666667	13.53333333	6.84	1.37	15	0.79002	6.6
32.06666667	14.5	9.16	1.65	30	1.9725552	18.5
29.51851852	15.03703704	7.940740741	1.44	27	1.7197488	15
28.65714286	13.4	8.908571429	1.52	35	1.9198872	19
31.38461538	14.07692308	9.953846154	1.09	13	0.8047116	8.1
31.57142857	14.5	8.421428571	1.1	14	0.9007614	8.1
28.16666667	14.33333333	9.525	1.4	24	1.3821192	12.3
28.66666667	13.06666667	7.84	1.02	15	0.811503	6.7
30.10526316	14.52631579	8.684210526	1.18	19	1.1932074	11.8
31.75	14.91666667	9.775	1.16	12	0.798336	8
29.5625	13.95833333	10.01458333	1.37	48	2.8090062	27
28.26315789	13.21052632	7.805263158	1.12	19	1.0005534	9.4
29.2	13.95	8.29	1.28	20	1.1370744	11.1
27.55555556	13.44444444	9.477777778	1.28	18	0.954954	9.8
30.63636364	14.90909091	7.736363636	1.3	11	0.7125426	7.4
28.44444444	13.77777778	9.525925926	1.35	27	1.5025626	16.5
30.23076923	13.61538462	8.8	1.33	13	0.744282	9.1
31.15909091	15.11363636	12.71136364	1.58	44	2.9409534	34.7
32.11111111	13	10.45555556	0.99	9	0.5250168	4.8
29.86666667	13.86666667	9.47	1.36	30	0.8787933	18.2
31.39285714	14.03571429	13.30714286	1.4	28	1.7264016	27.7
29.5	13.35714286	14.51428571	0.75	14	0.7707546	8.7
29.86666667	14.6	13.17666667	1.18	30	1.8435186	20
29.5625	13.125	7.1625	1.16	16	0.8798328	10.2
31	14.55555556	7.488888889	1.3	18	1.1424798	11
28.0952381	12.80952381	13.12380952	1.43	21	1.0643094	14.2
31.5	14.72222222	7.644444444	1.3	18	1.1589732	11.5
30.32142857	15.35714286	9.021428571	1.31	28	1.8699912	20
29.09090909	15.09090909	8.345454545	1.35	11	0.683298	7.3
28.61290323	14.16129032	8.7	1.45	31	1.7932068	15.3
31.30434783	15.13043478	10.59130435	1.26	23	1.5221052	15
28.75	11.625	6.95	0.82	8	0.372141	3.5
28.54545455	14	8.763636364	1.15	11	0.6237	4
30	13.88	9.172	1.49	25	1.4960484	16.6
32.375	14.625	10.175	1.09	16	1.0618146	10
32.90909091	15.68181818	10.75454545	1.49	22	1.60083	18.6
30.52631579	14.10526316	9.157894737	1.46	19	1.1629926	11.6
29.11111111	14	9.022222222	1.17	9	0.5157306	5.2
26.66666667	12.27777778	10.97222222	1.1	18	0.846153	9.1
